2019-03-20 12:39:14,684 [Worker-26] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.2wa:TestNGLearning:0.0.1-SNAPSHOT @ C:\Minu\Selenium\TestNGLearning\pom.xml.
2019-03-20 12:39:14,684 [Worker-24] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.2wa:TestNGLearning:0.0.1-SNAPSHOT @ C:\Minu\Selenium\TestNGLearning\pom.xml.
2019-03-20 12:39:18,666 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-20 12:39:18,675 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-20 12:39:20,020 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-20 12:39:20,022 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-20 12:39:20,953 [Worker-28] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.2wa:TestNGLearning:0.0.1-SNAPSHOT @ C:\Minu\Selenium\TestNGLearning\pom.xml.
2019-03-20 12:39:21,186 [Worker-28] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.w2a:TestNGTraining:0.0.1-SNAPSHOT @ C:\Minu\Selenium\TestNGTraining\pom.xml.
2019-03-20 12:39:21,447 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-20 12:39:21,457 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-20 12:39:21,459 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-20 12:39:21,461 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-20 12:39:21,981 [Worker-22] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.w2a:TestNGTraining:0.0.1-SNAPSHOT @ C:\Minu\Selenium\TestNGTraining\pom.xml.
2019-03-20 12:39:22,812 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.testng:testng:jar:5.14.3 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2019-03-20 12:39:22,812 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.testng:testng:jar:5.14.3 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2019-03-20 12:39:22,831 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.testng:testng:jar:5.14.4 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2019-03-20 12:39:22,831 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.testng:testng:jar:5.14.4 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2019-03-20 12:39:22,858 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.testng:testng:jar:5.14.5 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
